course_slug,assessment_id,question_text,simplified_text,question_type,correct_answer,options,difficulty_level
embedded,,What is the characteristic of volatile memory?,What happens to volatile memory data?,multiple_choice,B,"[""Data remains after power loss."", ""Data is lost after power loss."", ""Data can only be read."", ""Data can only be written once.""]",1
embedded,,What is the primary role of a device driver in an embedded system?,What does a device driver do?,multiple_choice,B,"[""Executes application logic directly."", ""Translates between application and hardware."", ""Manages memory allocation."", ""Controls the clock system.""]",1
embedded,,Which type of clock system provides the highest accuracy?,Which clock is most accurate?,multiple_choice,C,"[""RC"", ""Ceramic"", ""Crystal"", ""External""]",1
embedded,,"How does the `volatile` keyword primarily address the ""data inconsistency"" problem when accessing memory-mapped registers?",How does `volatile` fix data problems?,multiple_choice,A,"[""It prevents the compiler from optimizing away reads/writes to the register."", ""It stores the register value in a separate buffer."", ""It automatically refreshes the register's content."", ""It ensures the register is always read from ROM.""]",2
embedded,,What is the main benefit of using a configuration file in device driver design?,What is the main use of a config file?,multiple_choice,B,"[""To store application-specific logic."", ""To modify module behavior without changing its core implementation."", ""To define hardware circuit diagrams."", ""To manage memory addresses for peripherals.""]",2
embedded,,"In software design, what does ""modularity"" refer to?",What does modularity mean in software?,multiple_choice,B,"[""Combining all hardware drivers into a single file."", ""Grouping related information and functionality for a specific hardware component."", ""Using a single programming language for all modules."", ""Ensuring all modules have the same memory footprint.""]",2
embedded,,What is the primary function of the Fetch step in the CPU's lifecycle?,What is the first step of CPU's work?,multiple_choice,C,"[""To execute an operation on operands."", ""To understand the instruction format."", ""To retrieve the next instruction from memory."", ""To store the result in the accumulator.""]",2
embedded,,A developer needs to store temporary data that must be quickly accessible but can be lost if power fails. Which memory type would be most suitable?,"Need fast, temporary data storage. Which memory?",multiple_choice,B,"[""Mask ROM"", ""SRAM"", ""Flash Memory"", ""OTP ROM""]",3
embedded,,An embedded system requires concurrent instruction fetching and execution to achieve high performance. Which bus architecture best supports this?,Need fast CPU with concurrent tasks. Which bus?,multiple_choice,B,"[""Von Neumann"", ""Harvard"", ""Shared Bus"", ""Serial Bus""]",3
embedded,,"To allow an application to control a microphone's ""turn on"" and ""turn off"" functions, which specific file within its software driver would define these functions for external use?","Where do app-usable functions like ""turn on"" go?",multiple_choice,D,"[""Private File"", ""Configuration File"", ""Program File"", ""Interface File""]",3
embedded,,"If an embedded system needs to change its operating mode (e.g., from a counter to a timer) at runtime without requiring a full recompilation, which configuration technique is most appropriate?","Change mode at runtime, no recompile. Which config method?",multiple_choice,D,"[""Pre-build/Compile time"", ""Link time"", ""Post-build (Selectable)"", ""Post-build (Writable)""]",3
embedded,,Which statement accurately compares SRAM and DRAM based on cost and performance?,Compare SRAM and DRAM: cost and speed.,multiple_choice,C,"[""SRAM is smaller and cheaper, while DRAM is faster."", ""DRAM is smaller and faster, while SRAM is cheaper."", ""SRAM is smaller and faster, while DRAM is cheaper."", ""DRAM is smaller and cheaper, while SRAM is slower.""]",4
embedded,,Analyze the trade-offs between RC and Crystal clock systems regarding size and accuracy.,RC vs. Crystal clocks: size and accuracy?,multiple_choice,C,"[""RC is smaller and more accurate, while Crystal is larger and less accurate."", ""Crystal is smaller and more accurate, while RC is larger and less accurate."", ""RC is smaller but less accurate, while Crystal is larger but more accurate."", ""Crystal is smaller but less accurate, while RC is larger but more accurate.""]",4
embedded,,"A C program directly writes to a memory-mapped peripheral register. If the hardware circuit of that peripheral can independently change the value of the register, what type of problem can arise without proper handling?","Hardware changes register, C program reads. What problem?",multiple_choice,B,"[""Memory overflow."", ""Data inconsistency."", ""Stack corruption."", ""Infinite loop.""]",4
embedded,,Contrast Compiler Switches with Link Time configuration techniques regarding memory footprint and flexibility to change behavior after compilation.,Compiler vs. Link Time: memory and change flexibility?,multiple_choice,A,"[""Compiler Switches have a smaller memory footprint but less runtime flexibility, while Link Time uses more memory but allows runtime changes."", ""Link Time has a smaller memory footprint but less runtime flexibility, while Compiler Switches use more memory but allow runtime changes."", ""Both have the same memory footprint and flexibility."", ""Neither allows changes after compilation.""]",4
embedded,,"You are tasked with designing a software driver for a new temperature sensor. Which software design characteristic is paramount to ensure that the driver can be easily adapted and reused if the underlying hardware changes (e.g., a different temperature sensor model is used)?",Designing sensor driver. What helps reuse if hardware changes?,multiple_choice,C,"[""High Coupling"", ""Low Cohesion"", ""Modularity and Portability"", ""Direct Memory Access""]",5
embedded,,"When designing a memory-mapped register access mechanism in C for a complex peripheral with many related registers, which mapping method (Direct, Pointer, or Structure) offers the best balance of readability and type safety, especially for grouping registers logically?","For many related registers, which C mapping is best for clarity and safety?",multiple_choice,C,"[""Direct Address Mapping"", ""Pointer Mapping"", ""Structure Mapping"", ""Bit Masking""]",5
embedded,,A critical embedded system operates in an environment with significant temperature fluctuations and potential electromagnetic interference. Which clock system type would be the most suitable choice to ensure stable and accurate timing under these conditions?,"Stable clock needed for changing temperature, electrical interference. Which one?",multiple_choice,C,"[""RC Oscillator"", ""Ceramic Resonator"", ""Crystal Oscillator"", ""Internal RC""]",5
embedded,,An embedded system needs to allow its operating mode to be changed by an end-user via a debugger or flasher tool *after* the software has been deployed to the device. Which configuration parameter technique is the most appropriate for this requirement?,User changes device mode with debugger after deployment. Which config method?,multiple_choice,D,"[""Pre-build/Compile time"", ""Link time"", ""Post-build (Selectable)"", ""Post-build (Writable)""]",5
freelancing_khamsat,,What are the three main types of freelance platforms discussed in the course?,What are the 3 main kinds of freelance websites?,multiple_choice,A,"[""Project-based, Service/Gigs, and Marketplace"", ""Auction-based, Fixed-price, and Hourly"", ""Direct Client, Agency, and Hybrid"", ""Local, International, and Niche""]",1
freelancing_khamsat,,What is the minimum amount of money a freelancer must have in their Khamsat balance to initiate a withdrawal to PayPal?,What is the smallest amount you can take out from Khamsat?,multiple_choice,B,"[""$5"", ""$10"", ""$20"", ""$50""]",1
freelancing_khamsat,,For how many days do earnings remain in a 'pending' state on Khamsat before they become available for withdrawal?,How many days until Khamsat money is ready to take out?,multiple_choice,C,"[""7 days"", ""10 days"", ""14 days"", ""30 days""]",1
freelancing_khamsat,,Which payment method is exclusively used for withdrawing earnings from Khamsat?,What is the only way to get money out of Khamsat?,multiple_choice,B,"[""Bank Transfer"", ""PayPal"", ""Credit Card"", ""Western Union""]",1
freelancing_khamsat,,How does a 'Service/Gigs' platform like Khamsat fundamentally differ from a 'Project-based' platform like Guru or Mostaql?,How is Khamsat different from project-based freelance sites?,multiple_choice,A,"[""On Service/Gigs platforms, freelancers create and offer services for clients to buy, while on Project-based platforms, clients post jobs for freelancers to apply."", ""On Service/Gigs platforms, clients set the price, while on Project-based platforms, freelancers set the price."", ""Service/Gigs platforms focus on long-term contracts, whereas Project-based platforms focus on one-time tasks."", ""Service/Gigs platforms only allow digital products, while Project-based platforms allow both physical and digital.""]",2
freelancing_khamsat,,Why is it recommended not to deliver a service on Khamsat within the first 24 hours of a client's purchase?,Why wait 24 hours before delivering a Khamsat service?,multiple_choice,C,"[""To allow time for the client to provide detailed instructions."", ""To ensure the freelancer has enough time to complete the work thoroughly."", ""To protect against potential issues with clients using stolen or problematic PayPal accounts."", ""To allow Khamsat's moderation team to review the service details.""]",2
freelancing_khamsat,,What is the primary reason for a freelancer to verify their identity on Khamsat by uploading an ID and taking a selfie?,Why verify your ID on Khamsat?,multiple_choice,B,"[""To unlock higher service ranks immediately."", ""To allow clients to feel confident they are dealing with a real person."", ""To enable faster payment processing from Khamsat."", ""To gain access to premium features not available to unverified users.""]",2
freelancing_khamsat,,What action does Khamsat take if a client does not respond (neither accepts nor requests modifications) to a freelancer's 'receipt request' within the specified timeframe?,What happens if a client doesn't reply to a delivery request?,multiple_choice,B,"[""The service is automatically canceled, and the client is refunded."", ""Khamsat automatically accepts the service on behalf of the client, and earnings are released."", ""The freelancer must resubmit the service delivery request manually."", ""The client is given an extended period of 7 days to respond.""]",2
freelancing_khamsat,,"A freelancer wants to offer a service for 'writing an article' on Khamsat. To prevent their service from being rejected, what crucial detail must they include in the service description or title?",Selling an article service? What detail must you add to avoid rejection?,multiple_choice,C,"[""The freelancer's previous client testimonials."", ""The specific category and sub-category of the service."", ""The exact number of words for the article."", ""A link to their external portfolio.""]",3
freelancing_khamsat,,"A client has purchased a service on Khamsat. Before the freelancer can safely deliver the completed work and ensure they receive their earnings, what status must the service order display?",What status must a Khamsat order show before you deliver work?,multiple_choice,C,"[""\""Pending Review\"""", ""\""Pending Instructions\"""", ""\""In Progress\"""", ""\""Delivered\""""]",3
freelancing_khamsat,,"A freelancer has linked an EasyPay Visa card to their PayPal account. To avoid the $5 fee when transferring funds from PayPal to this card, when should they schedule the transfer?",When can you transfer PayPal money to EasyPay without a fee?,multiple_choice,B,"[""Any time during the first week of the month."", ""Only when the automatic transfer occurs at the beginning of the month."", ""After accumulating more than $100 in their PayPal balance."", ""During the last week of the month.""]",3
freelancing_khamsat,,"To increase visibility for clients who require immediate service and want to communicate with an active freelancer, which filter should a freelancer ensure applies to their Khamsat profile?",How can clients find you faster for urgent work?,multiple_choice,B,"[""Having a \""Distinguished Seller\"" rank."", ""Being \""Currently Online.\"""", ""Having a \""Verified Identity.\"""", ""Offering \""Service Development\"" options.""]",3
freelancing_khamsat,,Compare the fees and estimated delivery times for transferring funds from PayPal to a linked US bank account versus a linked Visa card.,US bank vs. Visa card: PayPal transfer fees and time?,multiple_choice,A,"[""US bank: 1 day, no fee; Visa card: 7 days, $5 fee."", ""US bank: 7 days, $5 fee; Visa card: 1 day, no fee."", ""Both: 1 day, no fee."", ""Both: 7 days, $5 fee.""]",4
freelancing_khamsat,,"A freelancer's service was rejected on Khamsat, and they feel the reason provided was unclear or incorrect. What is the most effective way to resolve this issue?","Service rejected, reason unclear. What's the best next step?",multiple_choice,C,"[""Delete the service and create a new one with a different title."", ""Immediately modify the service based on a guess and resubmit."", ""Reply to the rejection email to ask Khamsat's customer service for clarification."", ""Wait for a few days for Khamsat to automatically re-review the service.""]",4
freelancing_khamsat,,"How does Khamsat's ranking system (e.g., New Seller, Active Seller, Distinguished Seller) motivate freelancers to improve their performance and increase sales?",How do Khamsat ranks make freelancers work better?,multiple_choice,B,"[""Higher ranks unlock access to exclusive client projects."", ""Each higher rank provides more service slots and better features, encouraging sales."", ""Only \""Trusted Sellers\"" receive payments directly without pending periods."", ""Lower ranks are penalized with higher commission fees.""]",4
freelancing_khamsat,,"On Khamsat, a freelancer has sold 50 services, but only to 10 unique clients. How would the ""number of clients"" metric on their profile reflect this activity?",Sold 50 services to 10 people. How many clients show on your profile?,multiple_choice,B,"[""50 clients, as each service counts as a client interaction."", ""10 clients, reflecting the number of distinct individuals who made a purchase."", ""60 clients, combining both services and unique clients."", ""The number of clients would remain unlisted until 100 unique clients are reached.""]",4
freelancing_khamsat,,"When designing a new service for Khamsat, what is the most effective strategy to ensure it stands out, gets approved, and attracts buyers?",Best way to make a new Khamsat service sell well?,multiple_choice,C,"[""Using a vague title to appeal to a broad audience and offering the lowest price."", ""Copying a popular service title and description from another freelancer."", ""Creating a unique service idea, providing a clear, specific description, and showcasing a strong portfolio."", ""Focusing solely on a niche category with very few potential clients.""]",5
freelancing_khamsat,,A freelancer in Egypt wants to link a US bank account to their PayPal. They are considering both Payoneer and Wise (formerly TransferWise). What critical factor should they evaluate when choosing between these two services to avoid linking issues with PayPal?,Linking a US bank to PayPal in Egypt: Payoneer vs. Wise. What's key?,multiple_choice,B,"[""The minimum withdrawal amount from PayPal to the linked service."", ""The specific type of US bank account provided by Payoneer, as PayPal only accepts \""Community Federal Savings Bank.\"""", ""The monthly maintenance fees charged by each service for the US bank account."", ""The speed at which each service processes currency conversions from USD to EGP.""]",5
freelancing_khamsat,,"As an expert educational assessment designer, what is the best practice for a Khamsat freelancer to ensure clear communication and smooth service delivery, minimizing client requests for modifications?",How can freelancers deliver services smoothly and avoid changes?,multiple_choice,B,"[""Deliver the service as quickly as possible without waiting for full client instructions."", ""Provide a detailed service description and clear instructions for the buyer on what information is needed at the start."", ""Offer unlimited modifications as part of the basic service package."", ""Avoid direct communication with the client, relying solely on service descriptions.""]",5
freelancing_khamsat,,"Among the various strategies to increase service sales on Khamsat, which one offers the most sustainable long-term benefit for a freelancer's reputation and client acquisition?",Best long-term strategy for more Khamsat sales?,multiple_choice,B,"[""Constantly reducing service prices to be the cheapest option."", ""Focusing on unique service ideas and maintaining a strong, regularly updated portfolio with work samples."", ""Frequently changing service titles and descriptions to appear new in search results."", ""Only accepting clients who have a \""Distinguished Buyer\"" rank.""]",5
iot,,What is the primary characteristic that defines the 'Internet of Things'?,What makes something 'Internet of Things'?,multiple_choice,B,"[""Devices with large memory"", ""Devices connected to the Internet"", ""Devices that only use Wi-Fi"", ""Devices that are battery-operated""]",1
iot,,Which of the following is NOT listed as one of the five main categories of IoT applications?,Which is NOT a main IoT app type?,multiple_choice,B,"[""Smart Cities"", ""Gaming"", ""Medical Applications"", ""Home/Consumer Applications""]",1
iot,,What is the initial step in creating an IoT device to test an idea?,First step to test an IoT device idea?,multiple_choice,C,"[""Mass production"", ""Selecting a CPU"", ""Using a prototyping board"", ""Developing a real-time operating system""]",1
iot,,Which wireless technology is known for sending very small amounts of data over a very short distance (centimeters)?,Which wireless tech sends small data short distance?,multiple_choice,C,"[""LoRa"", ""ZigBee"", ""NFC"", ""Bluetooth Low Energy""]",1
iot,,Why are home/consumer IoT applications generally expected to have low revenue despite serving many devices?,Why do home IoT apps make little money?,multiple_choice,B,"[""They require expensive hardware"", ""Users expect them to be free of charge"", ""They use outdated wireless technologies"", ""They are difficult to develop""]",2
iot,,What is the primary trade-off when choosing a wireless technology that offers significant battery power saving for IoT devices?,What do you give up for long battery life in IoT?,multiple_choice,C,"[""Device size"", ""Processing power"", ""Bandwidth"", ""Security features""]",2
iot,,What is the main purpose of an IoT Application Enablement Platform (AEP)?,What does an IoT AEP mostly do?,multiple_choice,B,"[""To physically connect devices to the internet"", ""To simplify IoT application development on the cloud"", ""To manufacture IoT devices at scale"", ""To provide mobile phone applications""]",2
iot,,What distinguishes a 'real device' from a 'prototyping board' in IoT development?,How is a real IoT device different from a test board?,multiple_choice,B,"[""A real device uses standard USB connections"", ""A real device is designed for low power consumption and specific components"", ""A real device is only used for proof of concept"", ""A real device cannot be mass-produced""]",2
iot,,A city wants to implement a smart lighting system that allows remote control of streetlights and monitors their working hours and light intensity. Which IoT application category does this fall under?,City wants smart streetlights. What IoT type is this?,multiple_choice,C,"[""Home/Consumer Applications"", ""Medical Applications"", ""Smart Cities/Industries"", ""Mobility Applications""]",3
iot,,A company is developing a new artificial pancreas that will be implanted in diabetic patients for continuous glucose monitoring and insulin delivery. What is the most significant challenge this company will face regarding the device's power source?,New artificial pancreas. What's the biggest power problem?,multiple_choice,C,"[""Finding a large enough battery"", ""Ensuring the battery can be recharged frequently through surgery"", ""Designing for extremely long battery life without frequent recharging"", ""Connecting it to a constant external power supply""]",3
iot,,"An IoT developer is tasked with creating an application for tracking the movement of shipping containers across continents. Which component of the IoT value chain is critical for ensuring reliable data transfer over vast distances, including oceans and deserts?",Tracking shipping containers globally. Which part of IoT helps send data far?,multiple_choice,C,"[""Wireless Sensor Networks like ZigBee"", ""Fixed Ethernet Gateways"", ""Satellite Carrier Networks"", ""Bluetooth Low Energy""]",3
iot,,"A factory manager wants to monitor the quality of products, energy consumption, and resource usage on multiple production lines in real-time. Which IoT application category is most relevant for this scenario, and what kind of revenue can be expected from such applications?",Factory needs to watch production. What IoT type and money?,multiple_choice,B,"[""Home Applications, low revenue"", ""Smart Cities/Industries, high revenue"", ""Medical Applications, variable revenue"", ""Mobility Applications, moderate revenue""]",3
iot,,Compare the data handling capabilities of traditional databases (like Oracle) with those required for IoT big data. What is a key difference identified in the transcript?,How are IoT data needs different from normal databases?,multiple_choice,B,"[""Traditional databases are inherently designed for the high volume and velocity of IoT data."", ""IoT data requires storage that is elastic and can handle millions of queries per hour, unlike traditional disk-based databases."", ""Traditional databases are more efficient for distributed data."", ""IoT data typically has a much larger size per individual reading than traditional data.""]",4
iot,,"How does the 'Intel Inside' concept apply to IoT gateways, according to the transcript?",How does 'Intel Inside' work for IoT gateways?,multiple_choice,C,"[""Intel manufactures the entire gateway device"", ""Intel provides the operating system for the gateway"", ""Intel supplies boards with various modems to gateway manufacturers"", ""Intel is the sole provider of carrier networks for gateways""]",4
iot,,"What is the main distinction between the wireless technologies used *before* an IoT gateway (e.g., LoRa, ZigBee) and those considered *carrier networks* (e.g., SigFox, 3G/4G)?",How are wireless tech before a gateway different from carrier networks?,multiple_choice,C,"[""Technologies before the gateway are always high bandwidth"", ""Carrier networks only support short-range communication"", ""Technologies before the gateway are for device-to-gateway, while carrier networks transport data to the internet"", ""Only carrier networks can save power""]",4
iot,,"When comparing Narrowband IoT (NB-IoT) with SigFox, what is identified as an advantage of NB-IoT and a drawback of SigFox, respectively?",NB-IoT vs SigFox: what is better about NB-IoT and worse about SigFox?,multiple_choice,B,"[""NB-IoT has lower power consumption; SigFox has higher bandwidth."", ""NB-IoT has higher bandwidth; SigFox modems are cheaper."", ""NB-IoT offers global roaming; SigFox is limited to local networks."", ""NB-IoT modems are cheaper; SigFox has greater range.""]",4
iot,,"A developer is considering whether to use an Application Enablement Platform (AEP) for a complex IoT project involving millions of devices and real-time critical actions. Based on the transcript, what is the most compelling reason to use an AEP instead of building everything from scratch?",Should a developer use an AEP for a big IoT project? Why?,multiple_choice,B,"[""AEPs guarantee lower hardware costs for devices"", ""AEPs simplify development, offering scalability, reliability, and performance that are hard to achieve from scratch"", ""AEPs completely eliminate the need for programmers"", ""AEPs only support a single application protocol, simplifying integration""]",5
iot,,"When designing an IoT solution for monitoring soil moisture in remote agricultural fields, which wireless technology would be the most suitable choice, considering the need for long battery life and potentially long distances?","Best wireless tech for remote farm soil sensors, long battery?",multiple_choice,C,"[""Wi-Fi"", ""Bluetooth"", ""SigFox"", ""NFC""]",5
iot,,"A company is manufacturing smart home appliances (refrigerators, washing machines). To offer comprehensive IoT services, should they focus on developing all aspects of the IoT value chain themselves, or should they partner with an 'End-to-End System Integrator'?",Should a smart appliance company build all IoT parts or get help?,multiple_choice,B,"[""They should build everything themselves to maximize control"", ""They should only focus on the device manufacturing and leave the rest to an End-to-End System Integrator"", ""They should only develop the cloud application and outsource device production"", ""They should hire more programmers to cover all aspects""]",5
iot,,"A mobile network operator (MNO) is considering offering IoT connectivity. To compete with low-power wide-area network (LPWAN) providers like SigFox, what strategic modification to their existing LTE network would be most effective, according to the transcript?",How can mobile networks compete for IoT with low-power options?,multiple_choice,C,"[""Increase LTE bandwidth for all devices"", ""Develop a completely new network infrastructure"", ""Modify LTE to create Narrowband IoT (NB-IoT) with reduced power consumption and bandwidth"", ""Focus solely on providing 5G connectivity""]",5
python,,What is the official website for downloading Python?,Where can you download Python?,multiple_choice,C,"[""A. python.com"", ""B. python.net"", ""C. python.org"", ""D. python.app""]",1
python,,"What is the primary purpose of a ""docstring"" within a Python function?",What is a docstring for in functions?,multiple_choice,B,"[""A. To define the function's name."", ""B. To provide comments and documentation for the function."", ""C. To specify the return type of the function."", ""D. To declare global variables.""]",1
python,,What operation does the `+` symbol perform when used with two strings in Python?,What does `+` do with two text strings?,multiple_choice,B,"[""A. Addition"", ""B. Concatenation"", ""C. Subtraction"", ""D. Multiplication""]",1
python,,What keyword is used in Python to define the beginning of a function?,What word starts a function definition?,multiple_choice,D,"[""A. func"", ""B. define"", ""C. method"", ""D. def""]",1
python,,What is the primary difference between writing code in the Python Shell (IDLE) and writing it in a .py file?,Shell code disappears; file code can be saved.,multiple_choice,B,"[""A. Shell code is automatically saved, while .py files are not."", ""B. Code in the Shell is temporary and lost upon closing, while .py files can be saved and reused."", ""C. .py files allow for immediate execution of single lines, unlike the Shell."", ""D. The Shell is used for complex programs, and .py files are for simple commands.""]",2
python,,How does the integer division operator (`//`) differ from the regular division operator (`/`) in Python?,How is `//` different from `/` in math?,multiple_choice,C,"[""A. `//` returns the exact decimal result, while `/` returns only the whole number."", ""B. `//` only works with integers, while `/` works with all number types."", ""C. `//` returns the whole number part of the division, discarding any fractional part, while `/` returns the full decimal result."", ""D. `//` returns the remainder of the division, while `/` returns the quotient.""]",2
python,,"In Python, what is the significance of indentation (using 4 spaces or a tab) within `if`, `else`, or `while` statements?",Why is spacing important in if/else/while code?,multiple_choice,B,"[""A. It improves code readability but has no functional purpose."", ""B. It defines code blocks and indicates which statements belong to a specific condition or loop."", ""C. It speeds up the execution of the program."", ""D. It is used to add comments to the code.""]",2
python,,"When iterating over a string `s` using `for char in s:`, what value does the variable `char` hold in each iteration?",What does `char` mean in `for char in s`?,multiple_choice,C,"[""A. The numerical index of each character."", ""B. The length of the string `s`."", ""C. The character itself from the string."", ""D. A boolean value indicating if the character exists.""]",2
python,,What would be the output of `type(3.14)` in Python?,What type is `3.14`?,multiple_choice,C,"[""A. <class 'int'>"", ""B. <class 'str'>"", ""C. <class 'float'>"", ""D. <class 'bool'>""]",3
python,,Evaluate the following Python expression: `3 * (5 + 1)`.,What is `3 * (5 + 1)`?,multiple_choice,B,"[""A. 16"", ""B. 18"", ""C. 15"", ""D. 6""]",3
python,,"Consider the following code:
```python
x = 10
if x % 2 == 0:
    print(""Even"")
else:
    print(""Odd"")
```
What will be the output?","What does `x = 10`, `if x % 2 == 0` print?",multiple_choice,B,"[""A. Odd"", ""B. Even"", ""C. Error"", ""D. Nothing""]",3
python,,"What will be the final value of `n` after the following loop finishes execution?
```python
n = 0
while n < 3:
    n = n + 1
```","What is `n` after `n=0`, `while n < 3: n=n+1`?",multiple_choice,D,"[""A. 0"", ""B. 1"", ""C. 2"", ""D. 3""]",3
