question_id,assessment_id,question_text,question_type,correct_answer,options,difficulty_level
q_assessment_digital_marketing_1_0,assessment_digital_marketing,When does the marketing process traditionally begin?,multiple_choice,B,After the product is manufactured|Even before the product exists|Only when sales decline|After the first customer complaint,1
q_assessment_iot_2_gen_1,assessment_iot,Semantic question about iot (Difficulty 2),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,2
q_assessment_iot_3_gen_0,assessment_iot,Semantic question about iot (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_iot_3_gen_1,assessment_iot,Semantic question about iot (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_iot_4_gen_0,assessment_iot,Semantic question about iot (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_iot_4_gen_1,assessment_iot,Semantic question about iot (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_iot_4_gen_2,assessment_iot,Semantic question about iot (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_iot_5_gen_0,assessment_iot,Semantic question about iot (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_iot_5_gen_1,assessment_iot,Semantic question about iot (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_iot_5_gen_2,assessment_iot,Semantic question about iot (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_python_1_gen_0,assessment_python,Semantic question about python (Difficulty 1),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,1
q_assessment_python_1_gen_1,assessment_python,Semantic question about python (Difficulty 1),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,1
q_assessment_python_2_gen_0,assessment_python,Semantic question about python (Difficulty 2),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,2
q_assessment_python_2_gen_1,assessment_python,Semantic question about python (Difficulty 2),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,2
q_assessment_python_3_gen_0,assessment_python,Semantic question about python (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_python_3_gen_1,assessment_python,Semantic question about python (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_python_4_gen_0,assessment_python,Semantic question about python (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_python_4_gen_1,assessment_python,Semantic question about python (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_python_5_gen_0,assessment_python,Semantic question about python (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_python_5_gen_1,assessment_python,Semantic question about python (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_python_5_gen_2,assessment_python,Semantic question about python (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_testing_1_gen_0,assessment_testing,Semantic question about testing (Difficulty 1),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,1
q_assessment_testing_1_gen_1,assessment_testing,Semantic question about testing (Difficulty 1),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,1
q_assessment_testing_1_gen_2,assessment_testing,Semantic question about testing (Difficulty 1),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,1
q_assessment_testing_2_gen_0,assessment_testing,Semantic question about testing (Difficulty 2),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,2
q_assessment_testing_2_gen_1,assessment_testing,Semantic question about testing (Difficulty 2),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,2
q_assessment_testing_2_gen_2,assessment_testing,Semantic question about testing (Difficulty 2),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,2
q_assessment_testing_3_gen_0,assessment_testing,Semantic question about testing (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_testing_3_gen_1,assessment_testing,Semantic question about testing (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_testing_3_gen_2,assessment_testing,Semantic question about testing (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_testing_4_gen_0,assessment_testing,Semantic question about testing (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_testing_4_gen_1,assessment_testing,Semantic question about testing (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_testing_4_gen_2,assessment_testing,Semantic question about testing (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_testing_5_gen_0,assessment_testing,Semantic question about testing (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_testing_5_gen_1,assessment_testing,Semantic question about testing (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_testing_5_gen_2,assessment_testing,Semantic question about testing (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_ux_1_gen_0,assessment_ux,Semantic question about ux (Difficulty 1),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,1
q_assessment_ux_1_gen_1,assessment_ux,Semantic question about ux (Difficulty 1),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,1
q_assessment_ux_1_gen_2,assessment_ux,Semantic question about ux (Difficulty 1),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,1
q_assessment_ux_2_gen_0,assessment_ux,Semantic question about ux (Difficulty 2),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,2
q_assessment_ux_2_gen_1,assessment_ux,Semantic question about ux (Difficulty 2),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,2
q_assessment_ux_3_gen_0,assessment_ux,Semantic question about ux (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_ux_3_gen_1,assessment_ux,Semantic question about ux (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_ux_3_gen_2,assessment_ux,Semantic question about ux (Difficulty 3),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,3
q_assessment_ux_4_gen_0,assessment_ux,Semantic question about ux (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_ux_4_gen_1,assessment_ux,Semantic question about ux (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_ux_4_gen_2,assessment_ux,Semantic question about ux (Difficulty 4),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,4
q_assessment_ux_5_gen_0,assessment_ux,Semantic question about ux (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_ux_5_gen_1,assessment_ux,Semantic question about ux (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
q_assessment_ux_5_gen_2,assessment_ux,Semantic question about ux (Difficulty 5),multiple_choice,A,Correct semantic answer|Wrong answer 1|Wrong answer 2|Wrong answer 3,5
